0,1,3,3,13,-18,2,-4,0,-5,17,2,2,-3,5,-5,1,2,38,1,-7,-2,-24,13,-3,-3,4,1,-11,2,-14,-5,86,12,1,1,2,-1,-26,15,6,-3,-1,-12,-7,4,-14,30,0,-10,2
-1,-2,-6,-6,-118,12,-17,-1,0,13,-25,-2,-2,-20,-2,4,-2,-4,-64,1,6,-14,3,-21,-1,1,-6,-5,4,-2,-17,-1,-213,-7,0,-17,-2,-6,7,-34,-21,1,-4,-12,13,-6,-8,-103,0,-4,-2
12,1,9,3,270,-16,27,4,22,-52,1,0,-2,31,0,3,5,3,44,13,12,64,24,43,8,2,0,7,27,11,118,11,465,1,0,26,7,9,38,18,22,2,26,32,-13,10,23,276,0,26,1
-21,2,-10,0,-223,5,-6,4,-44,123,7,0,6,46,-1,-9,1,1,39,-20,-14,-68,-38,-58,-3,1,4,2,-40,-11,-131,-14,-66,18,2,-19,-5,21,-31,0,-5,-3,-18,-16,4,-14,-6,-176,0,-14,9
10,-2,9,1,29,14,-9,-11,31,-61,23,3,-7,-28,3,20,-7,-5,-73,6,7,24,72,38,1,-2,-2,-8,5,3,103,9,590,-15,-1,8,-8,-42,9,7,-10,0,2,58,2,8,-12,-109,1,8,-13
13,1,6,-2,59,18,32,13,-9,-17,8,-8,16,0,11,-24,12,4,46,-5,-10,23,21,-18,-1,5,-2,8,39,-13,16,-1,339,13,9,3,34,22,-2,-7,11,4,2,-40,0,-2,17,243,-1,-3,1
-14,-1,-6,1,9,-5,-57,-10,22,-4,56,26,-14,-175,-10,4,-9,29,73,16,23,-12,-54,18,11,7,11,-5,1,22,-160,-2,-1568,-7,-16,16,-49,9,46,-12,19,-6,10,-5,14,6,-13,-164,5,2,4
-4,-1,8,0,-121,0,-13,-1,-26,60,-204,-42,-6,472,12,28,-4,-63,-61,-13,-18,13,-35,-15,-26,-22,-11,2,-81,-9,295,6,1885,5,1,-4,21,-16,-71,21,-24,3,60,-26,-26,21,15,112,-7,-9,-2
4,4,-1,40,135,-14,170,8,-19,-23,120,38,1,-365,18,-26,3,33,-229,3,5,-24,365,15,103,24,2,7,46,-3,-107,-17,-1228,-32,3,15,11,4,39,1,-28,7,-111,1,30,-54,16,-149,2,33,2
12,4,23,65,153,-6,-178,-4,37,-60,69,-31,32,-87,-100,-3,12,44,532,6,-12,-10,-535,21,-158,48,-7,-21,4,-6,109,35,673,17,4,-57,-10,5,57,-6,106,-7,24,20,9,48,-58,124,-4,-91,-4
-6,-15,-27,-233,-256,48,160,23,-11,-22,1,25,-39,262,210,8,-14,-80,-500,-12,18,246,348,-71,96,-98,19,28,106,25,-353,-33,-1046,95,2,59,11,-17,-20,-31,-138,-5,101,71,-64,-23,34,-160,10,67,6
86,11,-24,165,71,-53,-61,-45,22,124,-138,-25,10,-129,-189,5,21,55,352,11,4,14,-127,35,-43,50,-4,-25,-167,-34,-36,5,352,-141,-1,-24,22,48,7,26,96,14,-162,-5,35,11,59,287,5,72,9
-96,5,48,-40,396,85,-174,17,-27,320,164,31,48,-330,104,2,-14,-46,-94,-14,65,-388,0,36,65,84,-3,8,125,38,1647,-9,1620,100,-6,14,-7,-43,155,31,-120,-15,109,-17,10,-9,-97,90,-15,-117,-18
-63,-21,18,-13,-578,-69,262,26,-2,-537,64,-21,-41,1466,107,14,-8,27,-169,5,-48,448,214,-39,-65,-120,-11,5,-67,-34,-1967,36,-1913,-52,14,78,-36,56,-206,-62,200,13,-33,-20,7,2,104,-600,15,63,14
103,38,-99,12,-170,8,-188,-4,-3,452,-237,36,-34,-1842,-246,-16,30,87,211,35,-6,-141,-73,-1,4,-28,7,7,-87,28,845,26,572,-17,-2,-105,-9,-87,-65,31,-118,-9,56,104,29,-3,-79,674,-15,23,-13
-13,-35,87,-9,624,-97,282,-51,12,-700,-29,-77,48,1341,106,-32,-22,-35,-493,-35,-4,-540,-341,24,22,7,4,-18,196,-22,-447,-92,-831,54,-31,-22,16,43,137,105,-4,14,-79,-325,-55,0,25,-658,1,-134,-3
-81,5,54,24,229,196,-303,47,16,1123,102,67,-6,-1296,-33,75,-26,-134,605,-15,-94,540,378,-6,-109,337,-13,39,6,23,788,14,73,-87,29,55,3,-17,49,-210,41,-23,31,199,-32,-22,-37,309,18,38,12
71,-2,-198,25,-753,-97,321,9,14,-702,863,-20,104,1128,106,-67,42,213,472,23,143,82,-132,-31,277,-410,18,-44,-208,38,-905,107,2378,149,-5,-47,35,37,-51,172,-30,7,122,289,56,78,119,201,-30,159,3
-29,15,98,-50,313,-18,-589,-29,-38,-1094,-1627,-8,-240,-435,-65,-2,-31,-319,-748,-32,6,-83,500,27,-223,117,-27,25,84,-144,714,-144,-3210,-182,5,96,31,-64,153,-32,45,18,-104,-423,-101,-83,-94,-562,27,-154,-1
115,-10,67,23,104,-14,292,-18,-21,2885,852,17,274,-313,34,34,28,231,1557,98,-60,-162,-824,-14,11,-57,40,-13,78,191,-264,99,1498,244,-10,-76,-59,82,-25,22,-1,1,132,284,271,30,-16,955,-16,86,-7
-11,5,-69,-12,-357,68,811,56,61,-2619,216,30,-227,395,-143,3,-9,-86,-3103,-89,63,270,717,0,109,-13,-54,-2,-66,-214,1134,37,1480,-190,0,51,-58,-61,-170,-216,-166,-29,-616,-217,-196,23,94,-1033,0,24,-7
-232,-3,87,-21,-251,-146,-1475,54,4,806,-469,-76,84,854,192,-15,-15,274,2631,-12,-142,-497,-954,36,-161,259,51,11,28,173,-643,-168,-1558,-11,2,-41,113,-56,529,159,186,17,607,217,9,-7,6,559,28,-318,21
175,0,-77,81,1781,77,786,-149,-86,-487,26,21,-82,-1891,-175,-9,-9,-429,-2756,22,185,-235,436,-39,170,-407,-21,-7,-115,-45,-2346,201,-1884,-33,9,-139,-140,242,-1301,119,-156,0,-127,-359,-7,-35,-254,-10,-27,518,-28
4,-9,-59,-119,-2626,-122,692,93,40,629,308,7,42,1007,125,1,61,165,3020,22,-189,935,135,-3,-169,544,-7,9,56,4,1997,-161,847,222,-11,229,60,-338,1122,-172,136,17,-106,383,-85,-8,176,-266,-18,-433,18
-6,27,-17,128,1631,192,-1113,5,24,94,543,18,79,210,-18,28,-80,109,-1750,-21,-38,-409,162,44,160,-477,15,-33,113,-117,365,104,77,-126,-3,-187,88,233,-205,113,-49,-36,266,-144,74,53,205,138,67,161,-10
